combo,sample,node_type,node_idx,was_isolated,true_b,true_h,pred_b,pred_h,abs_err_b,abs_err_h,node_mae
topological_none,sample_73,beam,0,False,60.0,30.0,40.59996795654297,38.20973205566406,19.40003204345703,8.209732055664062,13.804882049560547
topological_none,sample_73,beam,1,False,60.0,40.0,42.52482223510742,39.764591217041016,17.475177764892578,0.23540878295898438,8.855293273925781
topological_none,sample_73,beam,2,False,50.0,40.0,41.86808776855469,39.441612243652344,8.131912231445312,0.5583877563476562,4.345149993896484
topological_none,sample_73,beam,3,False,50.0,40.0,41.65402603149414,39.356204986572266,8.34597396850586,0.6437950134277344,4.494884490966797
topological_none,sample_73,beam,4,False,50.0,40.0,43.141212463378906,40.24563980102539,6.858787536621094,0.24563980102539062,3.552213668823242
topological_none,sample_73,beam,5,False,50.0,40.0,40.14801025390625,38.22613525390625,9.85198974609375,1.77386474609375,5.81292724609375
topological_none,sample_73,beam,6,False,50.0,30.0,39.879859924316406,37.953529357910156,10.120140075683594,7.953529357910156,9.036834716796875
topological_none,sample_73,beam,7,False,50.0,40.0,40.02174377441406,38.157222747802734,9.978256225585938,1.8427772521972656,5.910516738891602
topological_none,sample_73,beam,8,False,60.0,40.0,40.66471862792969,38.5964469909668,19.335281372070312,1.4035530090332031,10.369417190551758
topological_none,sample_73,beam,9,False,50.0,30.0,39.44159698486328,37.50904083251953,10.558403015136719,7.509040832519531,9.033721923828125
topological_none,sample_73,beam,10,False,50.0,40.0,40.06751251220703,38.084510803222656,9.932487487792969,1.9154891967773438,5.923988342285156
topological_none,sample_73,beam,11,True,40.0,30.0,36.98843002319336,31.5706787109375,3.0115699768066406,1.5706787109375,2.2911243438720703
topological_none,sample_73,beam,12,False,50.0,30.0,39.29874801635742,37.19785690307617,10.701251983642578,7.197856903076172,8.949554443359375
topological_none,sample_73,beam,13,False,50.0,40.0,39.72708511352539,37.57307052612305,10.27291488647461,2.426929473876953,6.349922180175781
topological_none,sample_73,beam,14,False,50.0,30.0,39.61808776855469,37.38274002075195,10.381912231445312,7.382740020751953,8.882326126098633
topological_none,sample_73,beam,15,False,50.0,40.0,42.00645065307617,39.21345138549805,7.993549346923828,0.7865486145019531,4.390048980712891
topological_none,sample_73,beam,16,False,50.0,40.0,38.86748504638672,36.4163703918457,11.132514953613281,3.583629608154297,7.358072280883789
topological_none,sample_73,beam,17,False,50.0,30.0,38.87433624267578,36.547908782958984,11.125663757324219,6.547908782958984,8.836786270141602
topological_none,sample_73,beam,18,False,50.0,40.0,42.317649841308594,39.448978424072266,7.682350158691406,0.5510215759277344,4.11668586730957
topological_none,sample_73,beam,19,False,50.0,40.0,39.827049255371094,37.861690521240234,10.172950744628906,2.1383094787597656,6.155630111694336
topological_none,sample_73,beam,20,False,50.0,30.0,39.53339767456055,37.54722213745117,10.466602325439453,7.547222137451172,9.006912231445312
topological_none,sample_73,beam,21,False,50.0,40.0,42.318077087402344,39.601966857910156,7.681922912597656,0.39803314208984375,4.03997802734375
topological_none,sample_73,beam,22,False,50.0,40.0,39.68141174316406,37.760677337646484,10.318588256835938,2.2393226623535156,6.278955459594727
topological_none,sample_73,beam,23,False,50.0,30.0,39.41727066040039,37.51131820678711,10.58272933959961,7.511318206787109,9.04702377319336
topological_none,sample_73,beam,24,False,50.0,40.0,41.81853485107422,39.334449768066406,8.181465148925781,0.6655502319335938,4.4235076904296875
topological_none,sample_73,beam,25,False,50.0,30.0,40.10028839111328,38.14908981323242,9.899711608886719,8.149089813232422,9.02440071105957
topological_none,sample_73,beam,26,False,35.0,35.0,39.1090202331543,36.93077850341797,4.109020233154297,1.9307785034179688,3.019899368286133
