combo,sample,node_type,node_idx,was_isolated,true_b,true_h,pred_b,pred_h,abs_err_b,abs_err_h,node_mae
topological_none,sample_73,beam,0,False,60.0,30.0,48.3179931640625,42.69242477416992,11.6820068359375,12.692424774169922,12.187215805053711
topological_none,sample_73,beam,1,False,60.0,40.0,51.10812759399414,44.760414123535156,8.89187240600586,4.760414123535156,6.826143264770508
topological_none,sample_73,beam,2,False,50.0,40.0,49.548194885253906,43.33352279663086,0.45180511474609375,3.3335227966308594,1.8926639556884766
topological_none,sample_73,beam,3,False,50.0,40.0,50.48493194580078,44.17209243774414,0.48493194580078125,4.172092437744141,2.328512191772461
topological_none,sample_73,beam,4,False,50.0,40.0,50.91292953491211,44.5565071105957,0.9129295349121094,4.556507110595703,2.7347183227539062
topological_none,sample_73,beam,5,False,50.0,40.0,48.745025634765625,42.65252685546875,1.254974365234375,2.65252685546875,1.9537506103515625
topological_none,sample_73,beam,6,False,50.0,30.0,47.76786422729492,42.086856842041016,2.232135772705078,12.086856842041016,7.159496307373047
topological_none,sample_73,beam,7,False,50.0,40.0,49.623966217041016,43.409610748291016,0.3760337829589844,3.4096107482910156,1.892822265625
topological_none,sample_73,beam,8,False,60.0,40.0,49.34709930419922,43.41090774536133,10.652900695800781,3.410907745361328,7.031904220581055
topological_none,sample_73,beam,9,False,50.0,30.0,47.569847106933594,42.07415771484375,2.4301528930664062,12.07415771484375,7.252155303955078
topological_none,sample_73,beam,10,False,50.0,40.0,49.982276916503906,43.725826263427734,0.01772308349609375,3.7258262634277344,1.871774673461914
topological_none,sample_73,beam,11,True,40.0,30.0,40.567386627197266,34.528682708740234,0.5673866271972656,4.528682708740234,2.54803466796875
topological_none,sample_73,beam,12,False,50.0,30.0,45.41348648071289,41.24576950073242,4.586513519287109,11.245769500732422,7.916141510009766
topological_none,sample_73,beam,13,False,50.0,40.0,48.94093704223633,42.878387451171875,1.0590629577636719,2.878387451171875,1.9687252044677734
topological_none,sample_73,beam,14,False,50.0,30.0,42.04231262207031,39.22138214111328,7.9576873779296875,9.221382141113281,8.589534759521484
topological_none,sample_73,beam,15,False,50.0,40.0,50.85910415649414,44.51914978027344,0.8591041564941406,4.5191497802734375,2.689126968383789
topological_none,sample_73,beam,16,False,50.0,40.0,47.24091720581055,42.02322006225586,2.759082794189453,2.0232200622558594,2.3911514282226562
topological_none,sample_73,beam,17,False,50.0,30.0,40.11958694458008,37.94923782348633,9.880413055419922,7.949237823486328,8.914825439453125
topological_none,sample_73,beam,18,False,50.0,40.0,51.53680419921875,45.14106369018555,1.53680419921875,5.141063690185547,3.3389339447021484
