combo,sample,node_type,node_idx,was_isolated,true_b,true_h,pred_b,pred_h,abs_err_b,abs_err_h,node_mae
topological_none,sample_73,beam,0,False,60.0,30.0,52.61689376831055,46.4164924621582,7.383106231689453,16.416492462158203,11.899799346923828
topological_none,sample_73,beam,1,False,60.0,40.0,53.4125862121582,47.109825134277344,6.587413787841797,7.109825134277344,6.84861946105957
topological_none,sample_73,beam,2,False,50.0,40.0,49.92677688598633,44.0594482421875,0.07322311401367188,4.0594482421875,2.066335678100586
topological_none,sample_73,beam,3,False,50.0,40.0,50.823753356933594,44.853633880615234,0.8237533569335938,4.853633880615234,2.838693618774414
topological_none,sample_73,beam,4,False,50.0,40.0,51.89290237426758,45.766876220703125,1.8929023742675781,5.766876220703125,3.8298892974853516
topological_none,sample_73,beam,5,False,50.0,40.0,49.08724594116211,43.22039031982422,0.9127540588378906,3.2203903198242188,2.0665721893310547
topological_none,sample_73,beam,6,False,50.0,30.0,49.03573226928711,43.1967658996582,0.9642677307128906,13.196765899658203,7.080516815185547
topological_none,sample_73,beam,7,False,50.0,40.0,49.87800216674805,44.045162200927734,0.12199783325195312,4.045162200927734,2.0835800170898438
topological_none,sample_73,beam,8,False,60.0,40.0,53.10133743286133,46.8631706237793,6.898662567138672,6.863170623779297,6.880916595458984
topological_none,sample_73,beam,9,False,50.0,30.0,49.42675018310547,43.633087158203125,0.5732498168945312,13.633087158203125,7.103168487548828
topological_none,sample_73,beam,10,False,50.0,40.0,50.86198043823242,44.92621612548828,0.8619804382324219,4.926216125488281,2.8940982818603516
topological_none,sample_73,beam,11,True,40.0,30.0,41.687767028808594,34.80412673950195,1.6877670288085938,4.804126739501953,3.2459468841552734
topological_none,sample_73,beam,12,False,50.0,30.0,49.602596282958984,43.99612808227539,0.3974037170410156,13.99612808227539,7.196765899658203
topological_none,sample_73,beam,13,False,50.0,40.0,49.95749282836914,44.18487548828125,0.042507171630859375,4.18487548828125,2.1136913299560547
topological_none,sample_73,beam,14,False,50.0,30.0,47.89229202270508,42.61874008178711,2.107707977294922,12.61874008178711,7.363224029541016
topological_none,sample_73,beam,15,False,50.0,40.0,50.994388580322266,45.13151168823242,0.9943885803222656,5.131511688232422,3.0629501342773438
topological_none,sample_73,beam,16,False,50.0,40.0,50.34541702270508,44.563697814941406,0.3454170227050781,4.563697814941406,2.454557418823242
